Subscription	ResourceGroup	Resource	ResourceType
Jason Test	jasontest	baigmawin10-nsg	Microsoft.Network/networkSecurityGroups
Jason Test	jasontest	baigmawin10-ip	Microsoft.Network/publicIPAddresses
Jason Test	jasontest	jasontest-vnet	Microsoft.Network/virtualNetworks
Jason Test	jasontest	jasontestvnet156	Microsoft.Network/virtualNetworks
Jason Test	jasontest	jasontestdiag282	Microsoft.Storage/storageAccounts
Jason Test	jasontest	jasontestdiag658	Microsoft.Storage/storageAccounts
TfGM Websites	CS-WebJobs-NorthEurope-scheduler	WebJobs-NorthEurope	Microsoft.Scheduler/jobcollections
TfGM Websites	CS-WebJobs-NorthEurope-scheduler	rss	Microsoft.Web/connections
TfGM Websites	Default-Storage-NorthEurope	webdevshowcase	Microsoft.Storage/storageAccounts
TfGM Websites	getmethere	62FC25DD212780325E3598E81763B3C109A6A45D-getmethere-UKSouthwebspace	Microsoft.Web/certificates
TfGM Websites	getmethere	76D1F933D897DDC872AC781D88D8F5CF8955BB2D-getmethere-UKSouthwebspace	Microsoft.Web/certificates
TfGM Websites	getmethere	UK-South-plan	Microsoft.Web/serverFarms
TfGM Websites	getmethere	getmethere/preview	Microsoft.Web/sites/slots
TfGM Websites	getmethere	getmethere/qa	Microsoft.Web/sites/slots
TfGM Websites	getmethere	getmethere/staging	Microsoft.Web/sites/slots
TfGM Websites	Default-Web-NorthEurope	2407EC6ACFA773CF89150751E06DAABDFD59C2D5#northeuropewebspace	Microsoft.Web/certificates
TfGM Websites	Default-Web-NorthEurope	72925468DD9EAB56B11B72DCC28A4EAABA45EF34#northeuropewebspace	Microsoft.Web/certificates
TfGM Websites	Default-Web-NorthEurope	A0958DC9FB49903173CF4962F62D4AB52DA2F754	Microsoft.Web/certificates
TfGM Websites	Default-Web-NorthEurope	certificates-kv-tfgm-wildcard-tfgm-com	Microsoft.Web/certificates
TfGM Websites	Default-Web-NorthEurope	Default1	Microsoft.Web/serverFarms
TfGM Websites	Default-Web-NorthEurope	content-getmethere	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	get-digital	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	gmtlatest	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	goto	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	leavinglauren	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	MetrolinkWiFi	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	TfGMforms	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	tfgmmailer	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	tfgmopendata	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	Traveline	Microsoft.Web/sites
TfGM Websites	Default-Web-NorthEurope	travelsafe	Microsoft.Web/sites
TfGM Websites	GreatAirManchester-RG	0DD57BF325CCF21D883E3C1D2CD1E19625FA47D3-northeuropewebspace	Microsoft.Web/certificates
TfGM Websites	GreatAirManchester-RG	GreatAirManchester	Microsoft.Web/sites
TfGM Websites	GreatAirManchester-RG	GreatAirManchester/preview	Microsoft.Web/sites/slots
TfGM Websites	GreatAirManchester-RG	GreatAirManchester/qa	Microsoft.Web/sites/slots
TfGM Websites	Linux-VMs	interaction-manager-DEV/enablevmaccess	Microsoft.Compute/virtualMachines/extensions
TfGM Websites	Linux-VMs	interaction-manager/enablevmaccess	Microsoft.Compute/virtualMachines/extensions
TfGM Websites	Linux-VMs	interaction-manager/Microsoft.Insights.VMDiagnosticsSettings	Microsoft.Compute/virtualMachines/extensions
TfGM Websites	Linux-VMs	interaction-manager/VMSnapshotLinux	Microsoft.Compute/virtualMachines/extensions
TfGM Websites	Linux-VMs	Interaction-Man-nic-8a0af562894244bf8c539e6c9530ea7d	Microsoft.Network/networkInterfaces
TfGM Websites	Linux-VMs	interaction-man-nic-d5b689a1b1a4496880bc43bd698cf69c	Microsoft.Network/networkInterfaces
TfGM Websites	Linux-VMs	interaction-manager947	Microsoft.Network/networkInterfaces
TfGM Websites	Linux-VMs	interaction-manager	Microsoft.Network/networkSecurityGroups
TfGM Websites	Linux-VMs	interaction-manager-TEST-nsg	Microsoft.Network/networkSecurityGroups
TfGM Websites	Linux-VMs	Interaction-Man-pip-3736cd5102d34d4db3cfdc0a2d6693a4	Microsoft.Network/publicIPAddresses
TfGM Websites	Linux-VMs	interaction-man-pip-c43fcde555ec4f749f148345784c0bf1	Microsoft.Network/publicIPAddresses
TfGM Websites	Linux-VMs	interaction-manager	Microsoft.Network/publicIPAddresses
TfGM Websites	Linux-VMs	Linux-VMs	Microsoft.Network/virtualNetworks
TfGM Websites	Linux-VMs	interaction-manager-RSG	Microsoft.RecoveryServices/vaults
TfGM Websites	Linux-VMs	linuxvms4945	Microsoft.Storage/storageAccounts
TfGM Websites	ShareYourJourneyWebsite	ShareYourJourney	Microsoft.Web/sites
TfGM Websites	ShareYourJourneyWebsite	shareyourjourney/shareyourjourney-staging	Microsoft.Web/sites/slots
TfGM Websites	Test-Sura	Test-Sura	Microsoft.Web/sites
TfGM Websites	TravelPlanToolkit	TravelPlanToolkit	Microsoft.Web/sites
SMART-CXP-DEV	AzureBackupRG_uksouth_1	AzureBackup_tfgm-elk-dev_8561360485665798377	Microsoft.Compute/restorePointCollections
SMART-CXP-DEV	CXPSmartDev10	CXPSmartDev10/enablevmaccess	Microsoft.Compute/virtualMachines/extensions
SMART-CXP-DEV	CXPSmartDev10	CXPSmartDev10/ProvisioningScripts	Microsoft.Compute/virtualMachines/extensions
SMART-CXP-DEV	CXPSmartDev4	CXPSmartDev4/enablevmaccess	Microsoft.Compute/virtualMachines/extensions
SMART-CXP-DEV	CXPSmartDevADS	SMART-CXP-DEV.com	Microsoft.AAD/DomainServices
SMART-CXP-DEV	DevVM-07	DevVM-07/enablevmaccess	Microsoft.Compute/virtualMachines/extensions
SMART-CXP-DEV	NetworkWatcherRG	NetworkWatcher_northeurope	Microsoft.Network/networkWatchers
SMART-CXP-DEV	NetworkWatcherRG	NetworkWatcher_uksouth	Microsoft.Network/networkWatchers
TfGM Geospatia	CS-WebJobs-NorthEurope-scheduler	WebJobs-NorthEurope	Microsoft.Logic/workflows
TfGM Geospatia	CS-WebJobs-NorthEurope-scheduler	WebJobs-NorthEurope_Carshare_test	Microsoft.Logic/workflows
TfGM Geospatia	CS-WebJobs-NorthEurope-scheduler	WebJobs-NorthEurope	Microsoft.Scheduler/jobcollections
TfGM Geospatia	Default-Web-NorthEurope	3D09D3304EDF43F189DFB95C9E940E1AF9EDD298#NorthEuropewebspace	Microsoft.Web/certificates
TfGM Geospatia	Default-Web-NorthEurope	7BE3653D7F9D4CD1C53BC50D7957D9A2605D2F4A-NorthEuropewebspace	Microsoft.Web/certificates
TfGM Geospatia	Default-Web-NorthEurope	87E6F04B8C4C8F7BC662B460D687760D8F2BE6EC#NorthEuropewebspace	Microsoft.Web/certificates
TfGM Geospatia	Default-Web-NorthEurope	F5E5958E65BE49CB3F2C2658465224095EA297F0	Microsoft.Web/certificates
TfGM Geospatia	Default-Web-NorthEurope	Default1	Microsoft.Web/serverFarms
TfGM Geospatia	Default-Web-NorthEurope	Default2	Microsoft.Web/serverFarms
TfGM Geospatia	Default-Web-NorthEurope	bods	Microsoft.Web/sites
TfGM Geospatia	Default-Web-NorthEurope	carsharegm	Microsoft.Web/sites
TfGM Geospatia	Default-Web-NorthEurope	carsharegm/dev	Microsoft.Web/sites/slots
TfGM Geospatia	Default-Web-NorthEurope	salmanandfriends	Microsoft.Web/sites
TfGM Geospatia	Default-Web-NorthEurope	SSSadmin	Microsoft.Web/sites
TfGM Geospatia	Default-Web-NorthEurope	TSIR	Microsoft.Web/sites
TfGM Geospatia	Default-Web-NorthEurope	tsir/tsi-dev	Microsoft.Web/sites/slots
TfGM Geospatia	DefaultResourceGroup-WEU	DefaultWorkspace-b8089e0e-c021-49c7-9800-c2def272d4a9-WEU	Microsoft.OperationalInsights/workspaces
TfGM Geospatia	DefaultResourceGroup-WEU	SecurityCenterFree(DefaultWorkspace-b8089e0e-c021-49c7-9800-c2def272d4a9-WEU)	Microsoft.OperationsManagement/solutions
TfGM Geospatia	EMKtest	EMKtest	Microsoft.Web/sites
TfGM Geospatia	EMKtest	EMKtest/staging	Microsoft.Web/sites/slots
TfGM Geospatia	ne-gsweb	GSWEB01/enablevmaccess	Microsoft.Compute/virtualMachines/extensions
TfGM Geospatia	ne-gsweb	GSWEB01/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM Geospatia	ne-gsweb	GSWEB01/Microsoft.Insights.VMDiagnosticsSettings	Microsoft.Compute/virtualMachines/extensions
TfGM Geospatia	ne-gsweb	GSWEB01/MicrosoftMonitoringAgent	Microsoft.Compute/virtualMachines/extensions
TfGM Geospatia	ne-gsweb	negswebdiag209	Microsoft.Storage/storageAccounts
TfGM Geospatia	NetworkWatcherRG	NetworkWatcher_northeurope	Microsoft.Network/networkWatchers
Open Data Project Dev/Test	WebJobs-WestEurope-LogicApp-UAT-RG	MottsWebJob-Logic-App-UAT	Microsoft.Logic/workflows
Open Data Project Dev/Test	TfGM-UAT	tfgm-uat-api-services4iqc2ddhz7rq	Microsoft.ApiManagement/service
Open Data Project Dev/Test	TfGM-UAT	tfgm-uat-scheduler-collection-names4iqc2ddhz7rq	Microsoft.Scheduler/jobcollections
Open Data Project Dev/Test	TfGM-UAT	tfgmuatservicebus	Microsoft.ServiceBus/namespaces
Open Data Project Dev/Test	TfGM-UAT	tfgmuatsas4iqc2ddhz7rq	Microsoft.Storage/storageAccounts
Open Data Project Dev/Test	TfGM-UAT	bmappService	Microsoft.Web/serverFarms
Open Data Project Dev/Test	TfGM-UAT	tfgm-uat-clientOpenDataClientAPIs4iqc2ddhz7rq	Microsoft.Web/sites
Open Data Project Dev/Test	TfGM-UAT	tfgm-uat-supplierOpenDataSupplierAPIs4iqc2ddhz7rq	Microsoft.Web/sites
TfGM Corporate	TfGM-LA-RG	My-First-Logic-App	Microsoft.Logic/workflows
TfGM Corporate	AFS-Trial	TfGM-File-Sync	Microsoft.StorageSync/storageSyncServices
TfGM Corporate	certificates-kv-tfgm	certificates-kv-tfgm	Microsoft.KeyVault/vaults
TfGM Corporate	DefaultResourceGroup-WEU	DefaultWorkspace-dd950ac0-ada1-45c3-8a4a-83c22f16c43e-WEU	Microsoft.OperationalInsights/workspaces
TfGM Corporate	DefaultResourceGroup-WEU	SecurityCenterFree(DefaultWorkspace-dd950ac0-ada1-45c3-8a4a-83c22f16c43e-WEU)	Microsoft.OperationsManagement/solutions
TfGM Corporate	mms-suk	TfGMOMS	Microsoft.OperationalInsights/workspaces
TfGM Corporate	mms-suk	ADAssessment(TfGMOMS)	Microsoft.OperationsManagement/solutions
TfGM Corporate	mms-suk	ADReplication(TfGMOMS)	Microsoft.OperationsManagement/solutions
TfGM Corporate	mms-suk	CompatibilityAssessment(TfGMOMS)	Microsoft.OperationsManagement/solutions
TfGM Corporate	mms-suk	DeviceHealthProd(TfGMOMS)	Microsoft.OperationsManagement/solutions
TfGM Corporate	mms-suk	WaaSUpdateInsights(TfGMOMS)	Microsoft.OperationsManagement/solutions
TfGM Corporate	securitydata	dd2035northeurope	Microsoft.Storage/storageAccounts
TfGM Corporate	TFGM-CMG-NE	tfgmcmg	Microsoft.Storage/storageAccounts
TfGM Corporate	TfGM_SIEM_RG	TfGM-SIEM	Microsoft.OperationalInsights/workspaces
TfGM Corporate	TfGM_SIEM_RG	Office365(TfGM-SIEM)	Microsoft.OperationsManagement/solutions
TfGM Corporate	TfGM_SIEM_RG	SecurityInsights(TfGM-SIEM)	Microsoft.OperationsManagement/solutions
TfGM Corporate	TfGM_SIEM_RG	AzureActivityDashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM Corporate	TfGM_SIEM_RG	AzureADAuditlogsDashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM Corporate	TfGM_SIEM_RG	AzureADSigninlogsDashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM Corporate	TfGM_SIEM_RG	ExchangeOnlineDashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM Corporate	TfGM_SIEM_RG	IdentityAndAccessDashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM Corporate	TfGM_SIEM_RG	Office365Dashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM Corporate	TfGM_SIEM_RG	SharePointAndOneDriveDashboard_TfGM-SIEM	Microsoft.Portal/dashboards
TfGM EDW	TestVM2	coupKeyVault	Microsoft.KeyVault/vaults
TfGM EDW	TestVM2	vnet-sql-managedinstance-02	Microsoft.Network/virtualNetworks
TfGM EDW	TestVnet	tfgmdaDF	Microsoft.DataFactory/factories
TfGM EDW	TestVnet	SmallTest-VNET	Microsoft.Network/virtualNetworks
TfGM EDW	TestVnet	tfgmtraveldatasc	Microsoft.Storage/storageAccounts
TfGM EDW	DefaultResourceGroup-SUK	DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-SUK	Microsoft.OperationalInsights/workspaces
TfGM EDW	DefaultResourceGroup-SUK	SecurityCenterFree(DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-SUK)	Microsoft.OperationsManagement/solutions
TfGM EDW	SQL-ManagedInstance-02-RG	nsg-sql-managedinstance-04	Microsoft.Network/networkSecurityGroups
TfGM EDW	SQL-ManagedInstance-02-RG	rt-sql-managedinstance-04	Microsoft.Network/routeTables
TfGM EDW	SQL-ManagedInstance-02-RG	SQL-MI-VNET-04	Microsoft.Network/virtualNetworks
TfGM EDW	AzureBackupRG_northeurope_1	AzureBackup_tfgm-edw-sftp_123146831976619	Microsoft.Compute/restorePointCollections
TfGM EDW	DefaultResourceGroup-WEU	DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-WEU	Microsoft.OperationalInsights/workspaces
TfGM EDW	DefaultResourceGroup-WEU	SecurityCenterFree(DefaultWorkspace-d36decdd-4550-40d9-ad8b-67f12b6e7fdc-WEU)	Microsoft.OperationsManagement/solutions
TfGM EDW	EDW-Disks-RG	TfGM-EDW-SFTP-DataDisk	Microsoft.Compute/disks
TfGM EDW	EDW-Recovery-RG	EDW-Backup-Vault	Microsoft.RecoveryServices/vaults
TfGM EDW	EDW-VM-RG	TfGM-EDW-SFTP_OsDisk_1_eaf6c3bcd94b4fb1afc9cbaab94cc04e	Microsoft.Compute/disks
TfGM EDW	EDW-VM-RG	TfGM-EDW-SFTP	Microsoft.Compute/virtualMachines
TfGM EDW	EDW-VM-RG	TfGM-EDW-SFTP/IaaSAntimalware	Microsoft.Compute/virtualMachines/extensions
TfGM EDW	EDW-VM-RG	TfGM-EDW-SFTP/MicrosoftMonitoringAgent	Microsoft.Compute/virtualMachines/extensions
