ResourceId,Subscription,ResourceGroup,Resource,ResourceType,Tags
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_northeurope,TfGM SharePoint,NetworkWatcherRG,NetworkWatcher_northeurope,Microsoft.Network/networkWatchers,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/availabilitySets/tfgm-as-spapp1,TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-as-spapp1,Microsoft.Compute/availabilitySets,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/availabilitySets/tfgm-as-spsql1,TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-as-spsql1,Microsoft.Compute/availabilitySets,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/availabilitySets/tfgm-as-spweb1,TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-as-spweb1,Microsoft.Compute/availabilitySets,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/availabilitySets/TfGM-public-availability-set,TfGM SharePoint,tfgm-rg-vn-ne1,TfGM-public-availability-set,Microsoft.Compute/availabilitySets,Environment=TfGM_Public; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/availabilitySets/TfGM-static-availability-group,TfGM SharePoint,tfgm-rg-vn-ne1,TfGM-static-availability-group,Microsoft.Compute/availabilitySets,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/azurespt-adc-01,TfGM SharePoint,tfgm-rg-vn-ne1,azurespt-adc-01,Microsoft.Compute/virtualMachines,Environment=EDRMS; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/azurespt-adc-01/extensions/Microsoft.Insights.VMDiagnosticsSettings,TfGM SharePoint,tfgm-rg-vn-ne1,azurespt-adc-01/Microsoft.Insights.VMDiagnosticsSettings,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/azurespt-adc-01/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,azurespt-adc-01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-app01,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-app01,Microsoft.Compute/virtualMachines,Environment=EDRMS; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-app01/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-app01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-edrms-app01/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-app01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-sql,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-sql,Microsoft.Compute/virtualMachines,Environment=EDRMS; displayName=EDRMS; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-sql/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-sql/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-sql/extensions/SqlIaasExtension,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-sql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-edrms-sql/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-sql/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-wfe01,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-wfe01,Microsoft.Compute/virtualMachines,Environment=EDRMS; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-EDRMS-wfe01/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-EDRMS-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-edrms-wfe01/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-wfe01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/SP-EDRMS-WFE02,TfGM SharePoint,tfgm-rg-vn-ne1,SP-EDRMS-WFE02,Microsoft.Compute/virtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-edrms-wfe03,TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-wfe03,Microsoft.Compute/virtualMachines,Environment=EDRMS; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-app01,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-app01,Microsoft.Compute/virtualMachines,Environment=TfGM_Public; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-app01/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-app01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-app01/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-app01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-sql,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql,Microsoft.Compute/virtualMachines,Environment=TfGM_Public; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-sql/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-sql/extensions/SqlIaasExtension,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-sql/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-sql/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe01,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01,Microsoft.Compute/virtualMachines,Environment=TfGM_Public; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe01/extensions/BGInfo,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01/BGInfo,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe01/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe01/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe02,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02,Microsoft.Compute/virtualMachines,Environment=TfGM_Public; 
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe02/extensions/BGInfo,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02/BGInfo,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe02/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-public-wfe02/extensions/VMSnapshot,TfGM SharePoint,tfgm-rg-vn-ne1,sp-public-wfe02/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-app01,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-app01,Microsoft.Compute/virtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-app01/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-app01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-sql,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql,Microsoft.Compute/virtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-sql/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-sql/extensions/SqlIaasExtension,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-wfe01,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-wfe01,Microsoft.Compute/virtualMachines,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/sp-test-wfe01/extensions/IaaSAntimalware,TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,
/subscriptions/fc9c29b9-8b6d-40aa-b3ac-6651c365d61a/resourceGroups/tfgm-rg-vn-ne1/providers/Microsoft.Compute/virtualMachines/static-test-wfe,TfGM SharePoint,tfgm-rg-vn-ne1,static-test-wfe,Microsoft.Compute/virtualMachines,
