Subscription,ResourceGroup,Resource,ResourceType,Environment,Project
TfGM SharePoint,tfgm-rg-vn-ne1,static-test-wfe/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe01/IaaSAntimalware,Microsoft.Compute/virtualMachines/extensions,prod,Static Website?
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe01/VMSnapshot,Microsoft.Compute/virtualMachines/extensions,prod,Static Website?
TfGM SharePoint,tfgm-rg-vn-ne1,TfGM-waf,Microsoft.Network/applicationGateways,prod,EDRMS - Check in front
TfGM SharePoint,tfgm-rg-vn-ne1,TfGM-static-LB,Microsoft.Network/loadBalancers,prod,EDRMS - Check in front
TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-wfe01976,Microsoft.Network/networkInterfaces,prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-edrms-wfe02407,Microsoft.Network/networkInterfaces,prod,EDRMS
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-app01128,Microsoft.Network/networkInterfaces,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-sql949,Microsoft.Network/networkInterfaces,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-wfe01977,Microsoft.Network/networkInterfaces,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-test-wfe812,Microsoft.Network/networkInterfaces,uat,Legacy website
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe01550,Microsoft.Network/networkInterfaces,Prod,Static Website - check
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe02522,Microsoft.Network/networkInterfaces,uat?,There but not attached to anything
TfGM SharePoint,tfgm-rg-vn-ne1,static-wfe02-nsg,Microsoft.Network/networkSecurityGroups,Not associated,Not associated
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-dom-ne1,Microsoft.Network/networkSecurityGroups,Not associated,Not associated
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-ftphttp-nwsecgroup,Microsoft.Network/networkSecurityGroups,Prod,Static Website - check
TfGM SharePoint,tfgm-rg-vn-ne1,tfgm-nsg-ser,Microsoft.Network/networkSecurityGroups,Prod,Multiple
TfGM SharePoint,tfgm-rg-vn-ne1,sp-test-app01-ip,Microsoft.Network/publicIPAddresses,uat,Legacy website
